"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"EPK","EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"EPA","EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1086","-","-","-","-","-","-"
"FAK","FONMAP PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","0,0716","-","-","-","-","-","-"
"GUK","GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GPN","GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1522","-","-","-","-","-","-"
"KVK","HEDEF PORTFÖY KATILIM İSTATİSTİKSEL ARBİTRAJ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IAY","INVEO PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-0,7029","28,4153","-","-","-","-","-"
"NVK","INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,3528","2,5738","-","-","-","-","-"
"PRR","INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"TIL","İŞ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,2598","-","-","-","-","-","-"
"KPI","İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1072","10,0912","-","-","-","-","-"
"KCL","KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","-1,3164","6,2737","18,9172","-","-","-","-"
"KKC","KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","0,7807","2,8635","12,6306","-","-","-","-"
"KUA","KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU","Katılım Şemsiye Fonu","0,2319","-2,9397","16,8808","-","-","-","-"
"KDE","KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU","Katılım Şemsiye Fonu","0,6462","5,9786","22,0686","-","-","-","-"
"KUD","KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU","Katılım Şemsiye Fonu","-1,0673","0,8673","17,9370","-","-","-","-"
"KIK","KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU","Katılım Şemsiye Fonu","-3,1945","5,4675","-","-","-","-","-"
"KME","KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU","Katılım Şemsiye Fonu","2,0014","8,9475","22,5871","-","-","-","-"
"MKA","MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,9425","-6,7174","9,6169","-","-","-","-"
"MTK","MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,4570","-5,0136","-","-","-","-","-"
"MPE","MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0747","10,0521","-","-","-","-","-"
"NKA","NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,4248","4,1792","10,5917","-","-","-","-"
"NME","NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,7653","2,7618","12,6882","-","-","-","-"
"NSP","NUROL PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,1981","10,4476","23,4323","-","-","-","-"
"NZU","NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,6052","4,7341","11,7596","-","-","-","-"
"FTL","ONE PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1447","10,1956","-","-","-","-","-"
"PP1","PARDUS PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","-3,5900","-3,3192","18,1156","-","-","-","-"
"PHK","PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,1620","-9,7903","-","-","-","-","-"
"PKD","PUSULA PORTFÖY İKİNCİ DENGE KATILIM SERBEST FON","Serbest Şemsiye Fonu","1,4824","-0,6946","-14,5093","-","-","-","-"
"RRP","RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON","Katılım Şemsiye Fonu","3,0938","10,0795","22,5607","-","-","-","-"
"PKR","ROTA PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,0974","10,2149","-","-","-","-","-"
"DNK","TACİRLER PORTFÖY DENGE KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,0778","9,7821","19,8104","-","-","-","-"
"TLV","TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"BKY","YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5696","-","-","-","-","-","-"
"BDA","YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","0,6677","-","-","-","-","-","-"
"PKT","YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,2036","10,4405","-","-","-","-","-"
